userCurrent_stack,userCurrent_name,userCurrent_pass,userCurrent_ai,userCurrent_room,userCurrent_socketid,userCurrent_p.$numberInt,userCurrent_skull.$numberInt,userCurrent_rose.$numberInt,userCurrent_boardRose.$numberInt,userCurrent_boardSkull.$numberInt,userCurrent_bid.$numberInt,userCurrent_win.$numberInt,userOthers0_stack,userOthers0_name,userOthers0_pass,userOthers0_ai,userOthers0_room,userOthers0_socketid,userOthers0__id.$oid,userOthers0_p.$numberInt,userOthers0_skull.$numberInt,userOthers0_rose.$numberInt,userOthers0_boardRose.$numberInt,userOthers0_boardSkull.$numberInt,userOthers0_bid.$numberInt,userOthers0_win.$numberInt,userOthers1_stack,userOthers1_name,userOthers1_pass,userOthers1_ai,userOthers1_room,userOthers1_socketid,userOthers1__id.$oid,userOthers1_p.$numberInt,userOthers1_skull.$numberInt,userOthers1_rose.$numberInt,userOthers1_boardRose.$numberInt,userOthers1_boardSkull.$numberInt,userOthers1_bid.$numberInt,userOthers1_win.$numberInt,userState_win,userState_minBid.$numberInt,userState_maxBid.$numberInt,userState_turnType.$numberInt,userState_turnChoice.$numberInt,userState_bidChoice.$numberInt,userState_bidAmt.$numberInt,userState_selection.$numberInt
[],ai,False,False,g,2SGZKhurz5PT0UMDAAAB,0,1,3,0,0,0,0,[],demonic-kitten,False,True,g,demonic-kitten,5e0e0e5f141948e01fa13fce,1,1,3,0,0,0,0,['rose'],hellish-celery,False,True,g,hellish-celery,5e0e0e5f141948e01fa13fcd,2,1,3,1,0,0,0,True,0,0,1,2,0,0,99
[],demonic-kitten,False,True,g,demonic-kitten,1,1,3,0,0,0,0,['rose'],ai,False,False,g,2SGZKhurz5PT0UMDAAAB,5e0e0e5f141948e01fa13fd1,0,1,3,1,0,0,0,['rose'],hellish-celery,False,True,g,hellish-celery,5e0e0e5f141948e01fa13fd0,2,1,3,1,0,0,0,False,0,0,1,2,0,0,99
[],hellish-celery,False,True,g,hellish-celery,2,1,3,0,0,0,0,[],ai,False,False,g,2SGZKhurz5PT0UMDAAAB,5e0e0e5f141948e01fa13fcb,0,1,3,0,0,0,0,[],demonic-kitten,False,True,g,demonic-kitten,5e0e0e5f141948e01fa13fca,1,1,3,0,0,0,0,False,0,0,1,2,0,0,99
['rose'],ai,False,False,g,2SGZKhurz5PT0UMDAAAB,0,1,3,1,0,0,0,['rose'],demonic-kitten,False,True,g,demonic-kitten,5e0e0e5f141948e01fa13fd7,1,1,3,1,0,0,0,"['rose', 'rose']",hellish-celery,False,True,g,hellish-celery,5e0e0e5f141948e01fa13fd6,2,1,3,2,0,0,0,True,0,0,1,3,0,0,99
['rose'],hellish-celery,False,True,g,hellish-celery,2,1,3,1,0,0,0,['rose'],ai,False,False,g,2SGZKhurz5PT0UMDAAAB,5e0e0e5f141948e01fa13fd4,0,1,3,1,0,0,0,['rose'],demonic-kitten,False,True,g,demonic-kitten,5e0e0e5f141948e01fa13fd3,1,1,3,1,0,0,0,False,0,0,1,2,0,0,99
[],ai,False,False,g,2SGZKhurz5PT0UMDAAAB,0,1,3,1,0,2,0,['rose'],demonic-kitten,False,True,g,demonic-kitten,5e0e0e5f141948e01fa13fe3,1,1,3,1,0,0,0,['rose'],hellish-celery,False,True,g,hellish-celery,5e0e0e5f141948e01fa13fe2,2,1,3,2,0,0,0,True,0,0,3,0,0,0,2
['rose'],ai,False,False,g,2SGZKhurz5PT0UMDAAAB,0,1,3,1,0,4,0,['rose'],demonic-kitten,False,True,g,demonic-kitten,5e0e0e5f141948e01fa13fdd,1,1,3,1,0,0,0,"['rose', 'rose']",hellish-celery,False,True,g,hellish-celery,5e0e0e5f141948e01fa13fdc,2,1,3,2,0,0,0,True,0,0,3,0,0,0,0
[],ai,False,False,g,2SGZKhurz5PT0UMDAAAB,0,1,3,1,0,3,0,['rose'],demonic-kitten,False,True,g,demonic-kitten,5e0e0e5f141948e01fa13fe0,1,1,3,1,0,0,0,"['rose', 'rose']",hellish-celery,False,True,g,hellish-celery,5e0e0e5f141948e01fa13fdf,2,1,3,2,0,0,0,True,0,0,3,0,0,0,2
[],ai,False,False,g,2SGZKhurz5PT0UMDAAAB,0,1,3,1,0,1,0,['rose'],demonic-kitten,False,True,g,demonic-kitten,5e0e0e5f141948e01fa13fe6,1,1,3,1,0,0,0,[],hellish-celery,False,True,g,hellish-celery,5e0e0e5f141948e01fa13fe5,2,1,3,2,0,0,0,True,0,0,3,0,0,0,1
['rose'],ai,False,False,g,2SGZKhurz5PT0UMDAAAB,0,1,3,1,0,0,0,['rose'],demonic-kitten,False,True,g,demonic-kitten,5e0e0e5f141948e01fa13fda,1,1,3,1,0,0,0,"['rose', 'rose']",hellish-celery,False,True,g,hellish-celery,5e0e0e5f141948e01fa13fd9,2,1,3,2,0,0,0,True,1,4,2,0,1,4,99
['rose'],ai,False,False,g,2SGZKhurz5PT0UMDAAAB,0,1,3,1,0,0,1,['skull'],demonic-kitten,False,True,g,demonic-kitten,5e0e0e5f141948e01fa13ff2,1,1,3,0,1,0,0,['rose'],hellish-celery,False,True,g,hellish-celery,5e0e0e5f141948e01fa13ff1,2,1,3,1,0,0,0,True,0,0,1,1,0,0,99
[],hellish-celery,False,True,g,hellish-celery,2,1,3,0,0,0,0,['rose'],ai,False,False,g,2SGZKhurz5PT0UMDAAAB,5e0e0e5f141948e01fa13fef,0,1,3,1,0,0,1,['skull'],demonic-kitten,False,True,g,demonic-kitten,5e0e0e5f141948e01fa13fee,1,1,3,0,1,0,0,False,0,0,1,2,0,0,99
[],demonic-kitten,False,True,g,demonic-kitten,1,1,3,0,0,0,0,['rose'],ai,False,False,g,2SGZKhurz5PT0UMDAAAB,5e0e0e5f141948e01fa13fec,0,1,3,1,0,0,1,[],hellish-celery,False,True,g,hellish-celery,5e0e0e5f141948e01fa13feb,2,1,3,0,0,0,0,False,0,0,1,1,0,0,99
